150 Kabupaten/Kota Inflasi (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Inflasi Tahunan (Y-on-Y) (2022=100) Menurut Kelompok dan Sub Kelompok 01 Makanan, Minuman dan Tembakau (Persen)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Makanan, Minuman dan Tembakau",,,,,,,,,,,,,Makanan,,,,,,,,,,,,,Minuman yang Tidak Beralkohol,,,,,,,,,,,,,Minuman Beralkohol,,,,,,,,,,,,,Rokok dan Tembakau,,,,,,,,,,,,
,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,,2026,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB KERINCI,2.06,3.76,6.39,3.22,6.4,-,-,-,-,-,-,-,-,0.69,2.93,7.34,2.82,6.88,-,-,-,-,-,-,-,-,19.17,19.26,0.47,3.52,3.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.98,4.6,3.57,4.98,4.98,-,-,-,-,-,-,-,-
MUARA BUNGO,1.86,4.52,4.85,3.47,6.14,-,-,-,-,-,-,-,-,0.96,4.48,4.75,3.14,6.61,-,-,-,-,-,-,-,-,2.46,2.45,2.25,1.39,1.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.67,5.17,5.97,5.48,5.34,-,-,-,-,-,-,-,-
KOTA JAMBI,1.05,2.46,2.48,1.53,5.86,-,-,-,-,-,-,-,-,0.6,2.21,2.29,1.08,6.27,-,-,-,-,-,-,-,-,0.03,0.25,0.18,0.3,0.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5.5,5.88,5.45,5.95,5.94,-,-,-,-,-,-,-,-
KAB OGAN KOMERING ILIR,-0.25,0.99,0.81,0.52,2.19,-,-,-,-,-,-,-,-,-0.5,1.07,0.84,0.47,2.51,-,-,-,-,-,-,-,-,0.02,0.05,0.08,0.08,0.08,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.83,0.83,0.84,0.84,1.18,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-0.99,1.62,0.5,-0.64,3.12,-,-,-,-,-,-,-,-,-1.22,2.04,0.64,-0.68,4.06,-,-,-,-,-,-,-,-,-0.29,-0.29,-0.29,-1.83,-2.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.43,2.59,2.34,1.65,3.62,-,-,-,-,-,-,-,-,0.12,2.67,2.36,1.39,3.8,-,-,-,-,-,-,-,-,1.85,1.64,1.69,1.41,-0.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.29,2.29,2.48,3.7,3.86,-,-,-,-,-,-,-,-
KOTA LUBUK LINGGAU,0.56,0.49,0.26,-0.28,2.31,-,-,-,-,-,-,-,-,-0.09,-0.17,-0.54,-1.16,2.04,-,-,-,-,-,-,-,-,3.03,2.76,2.41,1.25,1.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.79,3.91,4.76,4.78,4.42,-,-,-,-,-,-,-,-
KAB MUKO MUKO,1.64,4.59,5.89,3.42,6.1,-,-,-,-,-,-,-,-,1.35,5.13,6.82,3.55,6.8,-,-,-,-,-,-,-,-,2.28,2.28,2.28,2.28,4.96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.63,2.98,2.98,3.11,3.58,-,-,-,-,-,-,-,-
KOTA BENGKULU,1.59,3.42,3.59,3.21,6.06,-,-,-,-,-,-,-,-,1.2,3.57,3.51,2.9,6.4,-,-,-,-,-,-,-,-,-0.22,1.48,3.53,3.53,5.33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.94,3.32,4,4.53,4.68,-,-,-,-,-,-,-,-
KAB LAMPUNG TIMUR,2.65,3.71,-0.2,0.63,3.39,-,-,-,-,-,-,-,-,2.83,4.15,-0.73,0.02,3.55,-,-,-,-,-,-,-,-,1.41,1.41,1.41,1.41,-0.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.16,2.16,2.16,3.77,3.94,-,-,-,-,-,-,-,-
KAB MESUJI,0.71,2.01,1.58,1,4.87,-,-,-,-,-,-,-,-,0.81,2.35,1.53,0.71,5.55,-,-,-,-,-,-,-,-,-6.96,-4.59,-0.59,-0.48,-1.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.33,2.33,2.33,2.63,3.57,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,1.71,3.01,2,2.44,5.83,-,-,-,-,-,-,-,-,1.25,2.86,1.63,2.15,6.2,-,-,-,-,-,-,-,-,3.69,3.85,2.69,3.3,2.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.55,3.5,4.05,3.86,5.08,-,-,-,-,-,-,-,-
KOTA METRO,-0.89,1.6,0.63,1.79,5.7,-,-,-,-,-,-,-,-,-1.47,1.64,0.45,1.79,6.71,-,-,-,-,-,-,-,-,5.6,5.96,5.18,5.17,5.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.38,0.37,0.37,0.95,0.96,-,-,-,-,-,-,-,-
TANJUNG PANDAN,3.61,1.97,5.94,4.74,7.41,-,-,-,-,-,-,-,-,3.92,1.74,6.89,5.06,8.45,-,-,-,-,-,-,-,-,-0.17,0.83,0.81,0.91,2.22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.39,3.41,3.39,4.55,4.52,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,5.18,3.64,4.2,3.6,4.82,-,-,-,-,-,-,-,-,5.58,3.62,4.36,3.75,5.26,-,-,-,-,-,-,-,-,1.88,0.39,0.4,0.04,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.05,4.89,4.64,3.98,4,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,1.96,1.27,3.8,3.51,6.31,-,-,-,-,-,-,-,-,2.29,1.43,4.62,4.26,7.95,-,-,-,-,-,-,-,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.91,0.91,0.93,0.93,0.43,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,4.9,3.12,3.71,0.48,3.28,-,-,-,-,-,-,-,-,5.7,3.52,4.31,0.16,3.7,-,-,-,-,-,-,-,-,1.83,1.76,1.73,1.76,3.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.12,1.69,1.56,1.58,1.17,-,-,-,-,-,-,-,-
KAB KARIMUN,-0.98,1.22,3.62,-0.69,3.76,-,-,-,-,-,-,-,-,-1.77,0.88,3.9,-1.4,3.9,-,-,-,-,-,-,-,-,0.94,0.92,-0.1,0.57,0.98,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.9,3.83,3.83,3.98,4.36,-,-,-,-,-,-,-,-
KOTA BATAM,1.42,2.57,3.16,2.66,5.61,-,-,-,-,-,-,-,-,0.82,2.13,2.78,2.15,5.75,-,-,-,-,-,-,-,-,1.47,1.42,1.68,2.14,2.35,-,-,-,-,-,-,-,-,3.36,2.01,2.01,1.57,1.57,-,-,-,-,-,-,-,-,6.51,7.13,7.48,7.34,6.87,-,-,-,-,-,-,-,-
KOTA TANJUNG PINANG,2.23,4.2,4.16,4.09,7.27,-,-,-,-,-,-,-,-,1.99,4.1,3.99,3.2,6.98,-,-,-,-,-,-,-,-,0.98,0.35,0.32,8.76,9.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.66,6.97,7.39,8.08,7.97,-,-,-,-,-,-,-,-
KOTA JAKARTA,0.21,3.12,2.88,2.35,4.06,-,-,-,-,-,-,-,-,0.02,3.6,3.29,2.53,4.64,-,-,-,-,-,-,-,-,0.8,0.7,0.68,1.32,1.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.13,1.82,1.82,1.83,2.26,-,-,-,-,-,-,-,-
KAB BANDUNG,1.3,3.34,3.07,3.12,4.28,-,-,-,-,-,-,-,-,1.2,3.83,3.57,3.7,5.3,-,-,-,-,-,-,-,-,3.26,2.45,1.83,0.94,0.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.71,1.15,1.04,1.21,1.08,-,-,-,-,-,-,-,-
KAB MAJALENGKA,1.4,4.16,4.84,4.11,4.17,-,-,-,-,-,-,-,-,1.05,4.9,5.75,4.76,4.81,-,-,-,-,-,-,-,-,0.03,0.23,0.29,0.09,0.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.45,3.12,3.37,3.47,3.45,-,-,-,-,-,-,-,-
KAB SUBANG,1.54,3.36,3.07,2.95,3.58,-,-,-,-,-,-,-,-,0.96,3.45,3.45,3.23,4.12,-,-,-,-,-,-,-,-,3.69,3.44,0.64,0.96,1.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.92,2.89,2.95,2.95,2.66,-,-,-,-,-,-,-,-
KOTA BOGOR,0.16,3.37,3.38,3.63,5.71,-,-,-,-,-,-,-,-,-0.54,3.58,3.38,3.42,6.08,-,-,-,-,-,-,-,-,0.41,0.01,1.55,2.36,1.95,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.57,3.95,4.39,5.77,5.52,-,-,-,-,-,-,-,-
KOTA SUKABUMI,1.8,3.4,3.67,4.01,4.76,-,-,-,-,-,-,-,-,0.78,3.41,3.67,4.11,5.16,-,-,-,-,-,-,-,-,1.46,1.49,1,1.55,1.59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6.7,4.35,4.97,4.83,4.5,-,-,-,-,-,-,-,-
KOTA BANDUNG,0.98,2.99,3.05,3.97,5.9,-,-,-,-,-,-,-,-,0.83,3.48,3.45,4.22,6.6,-,-,-,-,-,-,-,-,-1.61,-1.14,-0.15,1.68,3.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.24,2.75,2.81,3.88,4.41,-,-,-,-,-,-,-,-
KOTA CIREBON,1.85,4.78,4.37,5.23,6.81,-,-,-,-,-,-,-,-,1.5,5.14,4.68,5.73,7.39,-,-,-,-,-,-,-,-,2.48,2.04,2.07,2.31,2.19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3.72,3.8,3.52,3.52,5.36,-,-,-,-,-,-,-,-
KOTA BEKASI,0.99,3.46,3.34,3.26,5.82,-,-,-,-,-,-,-,-,0.43,3.6,3.35,3.22,6.01,-,-,-,-,-,-,-,-,5.16,4.15,4.64,4.65,4.7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.81,2.06,2.39,2.53,5.39,-,-,-,-,-,-,-,-
KOTA DEPOK,1.11,3.55,3.29,3.64,5.41,-,-,-,-,-,-,-,-,0.37,3.51,3.36,3.85,5.85,-,-,-,-,-,-,-,-,4.71,4.99,3.28,2.6,3.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.34,2.62,2.92,3.35,4.75,-,-,-,-,-,-,-,-
KOTA TASIKMALAYA,1.44,2.98,3.68,3.35,3.79,-,-,-,-,-,-,-,-,1.12,3.41,4.27,3.77,4.33,-,-,-,-,-,-,-,-,1.87,0.8,1.09,1.58,1.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.54,2.45,2.59,2.61,2.62,-,-,-,-,-,-,-,-
