region,month,inflation,year,date
KAB MESUJI,Januari,0.81,2026,1/1/2026
KAB MESUJI,Februari,2.35,2026,2/1/2026
KAB MESUJI,Maret,1.53,2026,3/1/2026
KAB MESUJI,April,0.71,2026,4/1/2026
KAB MESUJI,Mei,5.55,2026,5/1/2026
KOTA BANDAR LAMPUNG,Januari,1.25,2026,1/1/2026
KOTA BANDAR LAMPUNG,Februari,2.86,2026,2/1/2026
KOTA BANDAR LAMPUNG,Maret,1.63,2026,3/1/2026
KOTA BANDAR LAMPUNG,April,2.15,2026,4/1/2026
KOTA BANDAR LAMPUNG,Mei,6.2,2026,5/1/2026
KOTA METRO,Januari,-1.47,2026,1/1/2026
KOTA METRO,Februari,1.64,2026,2/1/2026
KOTA METRO,Maret,0.45,2026,3/1/2026
KOTA METRO,April,1.79,2026,4/1/2026
KOTA METRO,Mei,6.71,2026,5/1/2026
TANJUNG PANDAN,Januari,3.92,2026,1/1/2026
TANJUNG PANDAN,Februari,1.74,2026,2/1/2026
TANJUNG PANDAN,Maret,6.89,2026,3/1/2026
TANJUNG PANDAN,April,5.06,2026,4/1/2026
TANJUNG PANDAN,Mei,8.45,2026,5/1/2026
KAB BANGKA BARAT,Januari,5.58,2026,1/1/2026
KAB BANGKA BARAT,Februari,3.62,2026,2/1/2026
KAB BANGKA BARAT,Maret,4.36,2026,3/1/2026
KAB BANGKA BARAT,April,3.75,2026,4/1/2026
KAB BANGKA BARAT,Mei,5.26,2026,5/1/2026
KAB BELITUNG TIMUR,Januari,2.29,2026,1/1/2026
KAB BELITUNG TIMUR,Februari,1.43,2026,2/1/2026
KAB BELITUNG TIMUR,Maret,4.62,2026,3/1/2026
KAB BELITUNG TIMUR,April,4.26,2026,4/1/2026
KAB BELITUNG TIMUR,Mei,7.95,2026,5/1/2026
KOTA PANGKAL PINANG,Januari,5.7,2026,1/1/2026
KOTA PANGKAL PINANG,Februari,3.52,2026,2/1/2026
KOTA PANGKAL PINANG,Maret,4.31,2026,3/1/2026
KOTA PANGKAL PINANG,April,0.16,2026,4/1/2026
KOTA PANGKAL PINANG,Mei,3.7,2026,5/1/2026
KAB KARIMUN,Januari,-1.77,2026,1/1/2026
KAB KARIMUN,Februari,0.88,2026,2/1/2026
KAB KARIMUN,Maret,3.9,2026,3/1/2026
KAB KARIMUN,April,-1.4,2026,4/1/2026
KAB KARIMUN,Mei,3.9,2026,5/1/2026
KOTA BATAM,Januari,0.82,2026,1/1/2026
KOTA BATAM,Februari,2.13,2026,2/1/2026
KOTA BATAM,Maret,2.78,2026,3/1/2026
