commodity,year,month,price,date
Daging Ayam Ras,2022,Januari,37787,1/1/2022
Telur Ayam Ras,2022,Januari,27384,1/1/2022
Gula Pasir Lokal/Curah,2022,Januari,13844,1/1/2022
Tepung Terigu Curah,2022,Januari,8948,1/1/2022
Minyak Goreng Kemasan,2022,Januari,19692,1/1/2022
Minyak Goreng Curah,2022,Januari,,1/1/2022
Jagung Tk. Peternak,2022,Januari,,1/1/2022
Beras Premium,2022,Februari,12390,2/1/2022
Beras Medium,2022,Februari,10880,2/1/2022
Kedelai Biji Kering,2022,Februari,12378,2/1/2022
Bawang Merah,2022,Februari,31832,2/1/2022
Bawang Putih (Bonggol),2022,Februari,29113,2/1/2022
Cabai Merah Keriting,2022,Februari,37902,2/1/2022
Cabai Rawit Merah,2022,Februari,49521,2/1/2022
Daging Sapi Murni,2022,Februari,126336,2/1/2022
Daging Ayam Ras,2022,Februari,35962,2/1/2022
Telur Ayam Ras,2022,Februari,24036,2/1/2022
Gula Pasir Lokal/Curah,2022,Februari,14197,2/1/2022
Tepung Terigu Curah,2022,Februari,9138,2/1/2022
Minyak Goreng Kemasan,2022,Februari,18228,2/1/2022
Minyak Goreng Curah,2022,Februari,,2/1/2022
Jagung Tk. Peternak,2022,Februari,,2/1/2022
Beras Premium,2022,Maret,12433,3/1/2022
Beras Medium,2022,Maret,10919,3/1/2022
Kedelai Biji Kering,2022,Maret,13057,3/1/2022
Bawang Merah,2022,Maret,35044,3/1/2022
Bawang Putih (Bonggol),2022,Maret,30453,3/1/2022
Cabai Merah Keriting,2022,Maret,48708,3/1/2022
Cabai Rawit Merah,2022,Maret,62015,3/1/2022
Daging Sapi Murni,2022,Maret,128553,3/1/2022
Daging Ayam Ras,2022,Maret,36295,3/1/2022
Telur Ayam Ras,2022,Maret,24844,3/1/2022
Gula Pasir Lokal/Curah,2022,Maret,14391,3/1/2022
Tepung Terigu Curah,2022,Maret,9348,3/1/2022
Minyak Goreng Kemasan,2022,Maret,20117,3/1/2022
Minyak Goreng Curah,2022,Maret,,3/1/2022
Jagung Tk. Peternak,2022,Maret,,3/1/2022
Beras Premium,2022,April,12445,4/1/2022
Beras Medium,2022,April,10898,4/1/2022
Kedelai Biji Kering,2022,April,13485,4/1/2022
Bawang Merah,2022,April,33541,4/1/2022
Bawang Putih (Bonggol),2022,April,31123,4/1/2022
Cabai Merah Keriting,2022,April,44101,4/1/2022
Cabai Rawit Merah,2022,April,51119,4/1/2022
Daging Sapi Murni,2022,April,132813,4/1/2022
Daging Ayam Ras,2022,April,38061,4/1/2022
Telur Ayam Ras,2022,April,25759,4/1/2022
Gula Pasir Lokal/Curah,2022,April,14789,4/1/2022
Tepung Terigu Curah,2022,April,9719,4/1/2022
Minyak Goreng Kemasan,2022,April,24523,4/1/2022
Minyak Goreng Curah,2022,April,18611,4/1/2022
Jagung Tk. Peternak,2022,April,,4/1/2022
Beras Premium,2022,Mei,12410,5/1/2022
Beras Medium,2022,Mei,10847,5/1/2022
Kedelai Biji Kering,2022,Mei,13608,5/1/2022
Bawang Merah,2022,Mei,38297,5/1/2022
Bawang Putih (Bonggol),2022,Mei,30699,5/1/2022
Cabai Merah Keriting,2022,Mei,43860,5/1/2022
Cabai Rawit Merah,2022,Mei,49009,5/1/2022
Daging Sapi Murni,2022,Mei,135729,5/1/2022
Daging Ayam Ras,2022,Mei,39175,5/1/2022
Telur Ayam Ras,2022,Mei,27098,5/1/2022
Gula Pasir Lokal/Curah,2022,Mei,14800,5/1/2022
Tepung Terigu Curah,2022,Mei,9854,5/1/2022
Minyak Goreng Kemasan,2022,Mei,25062,5/1/2022
Minyak Goreng Curah,2022,Mei,17758,5/1/2022
Jagung Tk. Peternak,2022,Mei,5482,5/1/2022
Beras Premium,2022,Juni,12360,6/1/2022
Beras Medium,2022,Juni,10779,6/1/2022
Kedelai Biji Kering,2022,Juni,13711,6/1/2022
Bawang Merah,2022,Juni,48894,6/1/2022
Bawang Putih (Bonggol),2022,Juni,28411,6/1/2022
Cabai Merah Keriting,2022,Juni,65698,6/1/2022
Cabai Rawit Merah,2022,Juni,80021,6/1/2022
Daging Sapi Murni,2022,Juni,134187,6/1/2022
Daging Ayam Ras,2022,Juni,37755,6/1/2022
Telur Ayam Ras,2022,Juni,28220,6/1/2022
Gula Pasir Lokal/Curah,2022,Juni,14685,6/1/2022
Tepung Terigu Curah,2022,Juni,9989,6/1/2022
Minyak Goreng Kemasan,2022,Juni,24239,6/1/2022
Minyak Goreng Curah,2022,Juni,16784,6/1/2022
Jagung Tk. Peternak,2022,Juni,5457,6/1/2022
Beras Premium,2022,Juli,12351,7/1/2022
Beras Medium,2022,Juli,10777,7/1/2022
Kedelai Biji Kering,2022,Juli,13752,7/1/2022
Bawang Merah,2022,Juli,57859,7/1/2022
Bawang Putih (Bonggol),2022,Juli,27074,7/1/2022
Cabai Merah Keriting,2022,Juli,76189,7/1/2022
Cabai Rawit Merah,2022,Juli,83160,7/1/2022
Daging Sapi Murni,2022,Juli,134773,7/1/2022
Daging Ayam Ras,2022,Juli,37183,7/1/2022
Telur Ayam Ras,2022,Juli,28108,7/1/2022
Gula Pasir Lokal/Curah,2022,Juli,14518,7/1/2022
Tepung Terigu Curah,2022,Juli,10296,7/1/2022
Minyak Goreng Kemasan,2022,Juli,22558,7/1/2022
Minyak Goreng Curah,2022,Juli,15325,7/1/2022
Jagung Tk. Peternak,2022,Juli,5345,7/1/2022
Beras Premium,2022,Agustus,12391,8/1/2022
Beras Medium,2022,Agustus,10849,8/1/2022
Kedelai Biji Kering,2022,Agustus,13773,8/1/2022
Bawang Merah,2022,Agustus,40822,8/1/2022
Bawang Putih (Bonggol),2022,Agustus,26541,8/1/2022
Cabai Merah Keriting,2022,Agustus,64255,8/1/2022
