commodity,year,month,price,date
Bawang Putih (Bonggol),2025,Agustus,38386,8/1/2025
Cabai Merah Keriting,2025,Agustus,42521,8/1/2025
Cabai Rawit Merah,2025,Agustus,49028,8/1/2025
Daging Sapi Murni,2025,Agustus,135082,8/1/2025
Daging Ayam Ras,2025,Agustus,35404,8/1/2025
Telur Ayam Ras,2025,Agustus,29564,8/1/2025
Gula Pasir Lokal/Curah,2025,Agustus,18254,8/1/2025
Tepung Terigu Curah,2025,Agustus,9792,8/1/2025
Tepung Terigu Kemasan,2025,Agustus,13036,8/1/2025
Minyak Goreng Kemasan,2025,Agustus,20881,8/1/2025
Minyak Goreng Curah,2025,Agustus,17525,8/1/2025
Jagung Tk. Peternak,2025,Agustus,6457,8/1/2025
Ikan Kembung,2025,Agustus,41603,8/1/2025
Ikan Tongkol,2025,Agustus,34562,8/1/2025
Ikan Bandeng,2025,Agustus,34642,8/1/2025
Garam konsumsi,2025,Agustus,11663,8/1/2025
Cabai Merah Besar,2025,Agustus,42821,8/1/2025
Minyak Kita,2025,Agustus,17528,8/1/2025
Daging Kerbau Beku (Impor),2025,Agustus,105632,8/1/2025
Daging Kerbau Segar (Lokal),2025,Agustus,141410,8/1/2025
Beras SPHP,2025,September,12558,9/1/2025
Beras Premium,2025,September,16080,9/1/2025
Beras Medium,2025,September,13945,9/1/2025
Kedelai Biji Kering,2025,September,10730,9/1/2025
Bawang Merah,2025,September,41919,9/1/2025
Bawang Putih (Bonggol),2025,September,37607,9/1/2025
Cabai Merah Keriting,2025,September,54876,9/1/2025
Cabai Rawit Merah,2025,September,47269,9/1/2025
Daging Sapi Murni,2025,September,135132,9/1/2025
Daging Ayam Ras,2025,September,37569,9/1/2025
Telur Ayam Ras,2025,September,29778,9/1/2025
Gula Pasir Lokal/Curah,2025,September,18151,9/1/2025
Tepung Terigu Curah,2025,September,9793,9/1/2025
Tepung Terigu Kemasan,2025,September,13023,9/1/2025
Minyak Goreng Kemasan,2025,September,20922,9/1/2025
Minyak Goreng Curah,2025,September,17542,9/1/2025
Jagung Tk. Peternak,2025,September,6656,9/1/2025
Ikan Kembung,2025,September,41785,9/1/2025
Ikan Tongkol,2025,September,34751,9/1/2025
Ikan Bandeng,2025,September,35107,9/1/2025
Garam konsumsi,2025,September,11640,9/1/2025
Cabai Merah Besar,2025,September,47270,9/1/2025
Minyak Kita,2025,September,17499,9/1/2025
Daging Kerbau Beku (Impor),2025,September,105687,9/1/2025
Daging Kerbau Segar (Lokal),2025,September,141361,9/1/2025
Beras SPHP,2025,Oktober,12526,10/1/2025
Beras Premium,2025,Oktober,15926,10/1/2025
Beras Medium,2025,Oktober,13823,10/1/2025
Kedelai Biji Kering,2025,Oktober,10696,10/1/2025
Bawang Merah,2025,Oktober,38892,10/1/2025
Bawang Putih (Bonggol),2025,Oktober,37132,10/1/2025
Cabai Merah Keriting,2025,Oktober,56260,10/1/2025
Cabai Rawit Merah,2025,Oktober,43173,10/1/2025
Daging Sapi Murni,2025,Oktober,135134,10/1/2025
Daging Ayam Ras,2025,Oktober,38037,10/1/2025
Telur Ayam Ras,2025,Oktober,30437,10/1/2025
Gula Pasir Lokal/Curah,2025,Oktober,18051,10/1/2025
Tepung Terigu Curah,2025,Oktober,9790,10/1/2025
Tepung Terigu Kemasan,2025,Oktober,13025,10/1/2025
Minyak Goreng Kemasan,2025,Oktober,20956,10/1/2025
Minyak Goreng Curah,2025,Oktober,17510,10/1/2025
Jagung Tk. Peternak,2025,Oktober,6699,10/1/2025
Ikan Kembung,2025,Oktober,41852,10/1/2025
Ikan Tongkol,2025,Oktober,34736,10/1/2025
Ikan Bandeng,2025,Oktober,35173,10/1/2025
Garam konsumsi,2025,Oktober,11624,10/1/2025
Cabai Merah Besar,2025,Oktober,49224,10/1/2025
Minyak Kita,2025,Oktober,17494,10/1/2025
Daging Kerbau Beku (Impor),2025,Oktober,105899,10/1/2025
Daging Kerbau Segar (Lokal),2025,Oktober,140865,10/1/2025
Beras SPHP,2025,November,12471,11/1/2025
Beras Premium,2025,November,15572,11/1/2025
Beras Medium,2025,November,13564,11/1/2025
Kedelai Biji Kering,2025,November,10705,11/1/2025
Bawang Merah,2025,November,39873,11/1/2025
Bawang Putih (Bonggol),2025,November,36829,11/1/2025
Cabai Merah Keriting,2025,November,53794,11/1/2025
Cabai Rawit Merah,2025,November,41694,11/1/2025
Daging Sapi Murni,2025,November,135170,11/1/2025
Daging Ayam Ras,2025,November,37628,11/1/2025
Telur Ayam Ras,2025,November,30525,11/1/2025
Gula Pasir Lokal/Curah,2025,November,17993,11/1/2025
Tepung Terigu Curah,2025,November,9744,11/1/2025
Tepung Terigu Kemasan,2025,November,12973,11/1/2025
Minyak Goreng Kemasan,2025,November,20939,11/1/2025
Minyak Goreng Curah,2025,November,17502,11/1/2025
Jagung Tk. Peternak,2025,November,6835,11/1/2025
Ikan Kembung,2025,November,42650,11/1/2025
Ikan Tongkol,2025,November,35051,11/1/2025
Ikan Bandeng,2025,November,35424,11/1/2025
Garam konsumsi,2025,November,11551,11/1/2025
Cabai Merah Besar,2025,November,52571,11/1/2025
Minyak Kita,2025,November,17475,11/1/2025
Daging Kerbau Beku (Impor),2025,November,105914,11/1/2025
Daging Kerbau Segar (Lokal),2025,November,140891,11/1/2025
Beras SPHP,2025,Desember,12453,12/1/2025
Beras Premium,2025,Desember,15549,12/1/2025
Beras Medium,2025,Desember,13540,12/1/2025
Kedelai Biji Kering,2025,Desember,10776,12/1/2025
Bawang Merah,2025,Desember,47236,12/1/2025
Bawang Putih (Bonggol),2025,Desember,37823,12/1/2025
Cabai Merah Keriting,2025,Desember,57503,12/1/2025
Cabai Rawit Merah,2025,Desember,67666,12/1/2025
Daging Sapi Murni,2025,Desember,135300,12/1/2025
Daging Ayam Ras,2025,Desember,39810,12/1/2025
Telur Ayam Ras,2025,Desember,31390,12/1/2025
Gula Pasir Lokal/Curah,2025,Desember,18044,12/1/2025
Tepung Terigu Curah,2025,Desember,9722,12/1/2025
Tepung Terigu Kemasan,2025,Desember,12924,12/1/2025
Minyak Goreng Kemasan,2025,Desember,20957,12/1/2025
Minyak Goreng Curah,2025,Desember,17640,12/1/2025
Jagung Tk. Peternak,2025,Desember,6937,12/1/2025
Ikan Kembung,2025,Desember,43216,12/1/2025
Ikan Tongkol,2025,Desember,35536,12/1/2025
Ikan Bandeng,2025,Desember,35780,12/1/2025
Garam konsumsi,2025,Desember,11503,12/1/2025
Cabai Merah Besar,2025,Desember,52147,12/1/2025
Minyak Kita,2025,Desember,17571,12/1/2025
Daging Kerbau Beku (Impor),2025,Desember,106764,12/1/2025
Daging Kerbau Segar (Lokal),2025,Desember,140557,12/1/2025
Beras Premium,2026,Januari,15575,1/1/2026
Beras Medium,2026,Januari,13517,1/1/2026
Beras SPHP,2026,Januari,12462,1/1/2026
Beras Medium Non SPHP,2026,Januari,13873,1/1/2026
Beras Khusus (Lokal),2026,Januari,15695,1/1/2026
Jagung Tk. Peternak,2026,Januari,6974,1/1/2026
Kedelai Biji Kering,2026,Januari,10877,1/1/2026
Bawang Merah,2026,Januari,42672,1/1/2026
Bawang Putih (Bonggol),2026,Januari,38645,1/1/2026
Cabai Merah Keriting,2026,Januari,39650,1/1/2026
Cabai Merah Besar,2026,Januari,38269,1/1/2026
Daging Sapi Murni,2026,Januari,136011,1/1/2026
Cabai Rawit Merah,2026,Januari,53999,1/1/2026
Daging Ayam Ras,2026,Januari,39277,1/1/2026
Telur Ayam Ras,2026,Januari,30931,1/1/2026
Gula Pasir Lokal/Curah,2026,Januari,18117,1/1/2026
Minyak Goreng Kemasan,2026,Januari,20992,1/1/2026
Minyak Goreng Curah,2026,Januari,17662,1/1/2026
Minyak Kita,2026,Januari,17655,1/1/2026
Tepung Terigu Curah,2026,Januari,9698,1/1/2026
Tepung Terigu Kemasan,2026,Januari,12917,1/1/2026
Ikan Kembung,2026,Januari,44319,1/1/2026
Ikan Tongkol,2026,Januari,36583,1/1/2026
Ikan Bandeng,2026,Januari,36423,1/1/2026
Garam konsumsi,2026,Januari,11499,1/1/2026
Daging Kerbau Beku (Impor),2026,Januari,109307,1/1/2026
Daging Kerbau Segar (Lokal),2026,Januari,140600,1/1/2026
Beras Premium,2026,Februari,15627,2/1/2026
Beras Medium,2026,Februari,13386,2/1/2026
Beras SPHP,2026,Februari,12452,2/1/2026
Beras Medium Non SPHP,2026,Februari,13943,2/1/2026
Beras Khusus (Lokal),2026,Februari,15750,2/1/2026
Jagung Tk. Peternak,2026,Februari,6909,2/1/2026
Kedelai Biji Kering,2026,Februari,10924,2/1/2026
Bawang Merah,2026,Februari,41544,2/1/2026
Bawang Putih (Bonggol),2026,Februari,38917,2/1/2026
Cabai Merah Keriting,2026,Februari,43295,2/1/2026
Cabai Merah Besar,2026,Februari,40976,2/1/2026
Daging Sapi Murni,2026,Februari,137777,2/1/2026
Cabai Rawit Merah,2026,Februari,71515,2/1/2026
Daging Ayam Ras,2026,Februari,40582,2/1/2026
Telur Ayam Ras,2026,Februari,30963,2/1/2026
Gula Pasir Lokal/Curah,2026,Februari,18230,2/1/2026
Minyak Goreng Kemasan,2026,Februari,21163,2/1/2026
Minyak Goreng Curah,2026,Februari,17734,2/1/2026
Tepung Terigu Curah,2026,Februari,9707,2/1/2026
Minyak Kita,2026,Februari,17223,2/1/2026
Tepung Terigu Kemasan,2026,Februari,12944,2/1/2026
Ikan Kembung,2026,Februari,45455,2/1/2026
Ikan Tongkol,2026,Februari,37490,2/1/2026
Ikan Bandeng,2026,Februari,37134,2/1/2026
Garam konsumsi,2026,Februari,11508,2/1/2026
Daging Kerbau Beku (Impor),2026,Februari,112069,2/1/2026
Daging Kerbau Segar (Lokal),2026,Februari,143199,2/1/2026
Beras Premium,2026,Maret,15640,3/1/2026
Beras Medium,2026,Maret,13378,3/1/2026
Beras SPHP,2026,Maret,12441,3/1/2026
Beras Medium Non SPHP,2026,Maret,13972,3/1/2026
Beras Khusus (Lokal),2026,Maret,15776,3/1/2026
Jagung Tk. Peternak,2026,Maret,6823,3/1/2026
Kedelai Biji Kering,2026,Maret,10998,3/1/2026
Bawang Merah,2026,Maret,41597,3/1/2026
Bawang Putih (Bonggol),2026,Maret,38567,3/1/2026
Cabai Merah Keriting,2026,Maret,44541,3/1/2026
Cabai Merah Besar,2026,Maret,45372,3/1/2026
Daging Sapi Murni,2026,Maret,141350,3/1/2026
Cabai Rawit Merah,2026,Maret,77164,3/1/2026
Daging Ayam Ras,2026,Maret,41312,3/1/2026
Telur Ayam Ras,2026,Maret,31823,3/1/2026
Gula Pasir Lokal/Curah,2026,Maret,18412,3/1/2026
Minyak Goreng Kemasan,2026,Maret,21324,3/1/2026
Minyak Goreng Curah,2026,Maret,18019,3/1/2026
Tepung Terigu Curah,2026,Maret,9715,3/1/2026
Minyak Kita,2026,Maret,16812,3/1/2026
Tepung Terigu Kemasan,2026,Maret,12961,3/1/2026
Ikan Kembung,2026,Maret,46233,3/1/2026
Ikan Tongkol,2026,Maret,38462,3/1/2026
Ikan Bandeng,2026,Maret,38023,3/1/2026
Garam konsumsi,2026,Maret,11494,3/1/2026
Daging Kerbau Beku (Impor),2026,Maret,115594,3/1/2026
Daging Kerbau Segar (Lokal),2026,Maret,144518,3/1/2026
Beras Premium,2026,April,15697,4/1/2026
Beras Medium,2026,April,13415,4/1/2026
Beras SPHP,2026,April,12444,4/1/2026
Beras Medium Non SPHP,2026,April,14041,4/1/2026
Beras Khusus (Lokal),2026,April,15951,4/1/2026
Jagung Tk. Peternak,2026,April,6774,4/1/2026
Kedelai Biji Kering,2026,April,11278,4/1/2026
Bawang Merah,2026,April,42745,4/1/2026
Bawang Putih (Bonggol),2026,April,37925,4/1/2026
Cabai Merah Keriting,2026,April,41854,4/1/2026
Cabai Merah Besar,2026,April,43546,4/1/2026
Daging Sapi Murni,2026,April,140815,4/1/2026
Cabai Rawit Merah,2026,April,67417,4/1/2026
Daging Ayam Ras,2026,April,39355,4/1/2026
Telur Ayam Ras,2026,April,31013,4/1/2026
Gula Pasir Lokal/Curah,2026,April,18723,4/1/2026
Minyak Goreng Kemasan,2026,April,21864,4/1/2026
Minyak Goreng Curah,2026,April,18664,4/1/2026
Tepung Terigu Curah,2026,April,9738,4/1/2026
Minyak Kita,2026,April,16889,4/1/2026
Tepung Terigu Kemasan,2026,April,12979,4/1/2026
Ikan Kembung,2026,April,45607,4/1/2026
Ikan Tongkol,2026,April,37993,4/1/2026
Ikan Bandeng,2026,April,37712,4/1/2026
Garam konsumsi,2026,April,11543,4/1/2026
Daging Kerbau Beku (Impor),2026,April,117260,4/1/2026
Daging Kerbau Segar (Lokal),2026,April,143208,4/1/2026
Beras Premium,2026,Mei,15803,5/1/2026
Beras Medium,2026,Mei,13456,5/1/2026
Beras SPHP,2026,Mei,12447,5/1/2026
Beras Medium Non SPHP,2026,Mei,14117,5/1/2026
Beras Khusus (Lokal),2026,Mei,16062,5/1/2026
Jagung Tk. Peternak,2026,Mei,6832,5/1/2026
Kedelai Biji Kering,2026,Mei,11448,5/1/2026
Bawang Merah,2026,Mei,44296,5/1/2026
Bawang Putih (Bonggol),2026,Mei,37303,5/1/2026
Cabai Merah Keriting,2026,Mei,49402,5/1/2026
Cabai Merah Besar,2026,Mei,52087,5/1/2026
Daging Sapi Murni,2026,Mei,141633,5/1/2026
Cabai Rawit Merah,2026,Mei,65638,5/1/2026
Daging Ayam Ras,2026,Mei,38006,5/1/2026
Telur Ayam Ras,2026,Mei,29705,5/1/2026
Gula Pasir Lokal/Curah,2026,Mei,18830,5/1/2026
Minyak Goreng Kemasan,2026,Mei,22521,5/1/2026
Minyak Goreng Curah,2026,Mei,19000,5/1/2026
Tepung Terigu Curah,2026,Mei,9778,5/1/2026
Minyak Kita,2026,Mei,17019,5/1/2026
Tepung Terigu Kemasan,2026,Mei,13018,5/1/2026
Ikan Kembung,2026,Mei,45553,5/1/2026
Ikan Tongkol,2026,Mei,37840,5/1/2026
Ikan Bandeng,2026,Mei,37449,5/1/2026
Garam konsumsi,2026,Mei,11553,5/1/2026
Daging Kerbau Beku (Impor),2026,Mei,117017,5/1/2026
Daging Kerbau Segar (Lokal),2026,Mei,145566,5/1/2026
